Year,ClubLongName,ClubShortName,Points
2017,Ruderclub Cham,RC Cham,7
2017,Ruderclub Kaufleuten Zürich,RC Kaufleuten Zürich,6
2017,Ruderclub Sarnen,RC Sarnen,5
2017,Seeclub Sursee,SC Sursee,5
2017,Polytechniker Ruderclub Zürich,Polytechniker RC Zürich,4
2017,Società Canottieri Locarno,SC Locarno,4
2017,Seeclub Stansstad,SC Stansstad,4
2017,Seeclub Küsnacht,SC Küsnacht,3
2017,Seeclub Sempach,SC Sempach,3
2017,Société d'Aviron Fribourg,SA Fribourg,2
2017,Seeclub Arbon,SC Arbon,2
2017,Nordiska Roddföreningen Zürich,Nordiska Zürich,1
2017,Rudergesellschaft Zürich,RG Zürich,1
2018,Seeclub Zürich,SC Zürich,122
2018,Basler Ruder-Club,Basler RC,100
2018,See-Club Zug,SC Zug,100
2018,Belvoir Ruderclub Zürich,Belvoir RC Zürich,88
2018,Grasshopper Ruderclub Zürich,Grasshopper RC Zürich,85
2018,Ruderclub Thalwil,RC Thalwil,81
2018,Ruderclub Baden,RC Baden,74
2018,Ruderclub Blauweiss Basel,RC Blauweiss Basel,46
2018,Ruderclub Zürich,RC Zürich,43
2018,Rowing Club Bern,RC Bern,36
2018,Seeclub Luzern,SC Luzern,31
2018,Solothurner Ruderclub,Solothurner RC,25
2018,Club Aviron Vevey,CA Vevey,22
2018,Seeclub Biel,SC Biel,20
2018,Ruderclub Hallwilersee,RC Hallwilersee,15
2018,Forward Rowing Club Morges,Forward RC Morges,13
2018,Seeclub Küsnacht,SC Küsnacht,11
2018,Seeclub Stansstad,SC Stansstad,10
2018,Nordiska Roddföreningen Zürich,Nordiska Zürich,9
2018,Rudergesellschaft Zürich,RG Zürich,7
2018,Ruderclub Erlenbach,RC Erlenbach,6
2018,Ruderclub Kaufleuten Zürich,RC Kaufleuten Zürich,6
2018,Ruderclub Schaffhausen,RC Schaffhausen,6
2018,Club Canottieri Lugano,CC Lugano,3
2018,Polytechniker Ruderclub Zürich,Polytechniker RC Zürich,3
2018,Ruderclub Cham,RC Cham,3
