2016	CA Vevey	1
2017	Seeclub Zirich	161
2017	Grasshopper Club Zirich	125
2017	Seeclub Zug	81
2017	Ruder Club Baden	68
2017	Basler RC	67
2017	Belvoir RC Zurich	61
2017	Ruderclub Thalwil	41
2017	Ruderclub ,Blauweiss“ Basel	39
2017	FRC Morges	33
2017	Rowing Club Bern	30
2017	Seeclub Luzern	26
2017	Ruderclub Schaffhausen	23
2017	RC Lausanne	20
2017	CA Vevey	18
2017	+9; Ruderclub Zurich	15
2017	Lausanne Sports	13
2017	Ruder-Club Erlenbach	12
2017	Seeclub Biel	12
2017	Solothurner RC	11
2017	Club Canottieri Lugano	11
2017	Z1.. RC Hallwilersee	8
2017	RC Cham	7
2017	Aviron Romand Zurich	7
2017	RC Kaufleuten Zurich	6
2017	Seeclub Sursee	5
2017	RC Sarnen	5
2017	Seeclub Stansstad	4
2017	Polytechniker RC	4
2017	Societa Canottieri Locarno	4
2017	Seeclub Sempach	3
2017	Seeclub Kusnacht	3
2017	Seeclub Arbon	2
2017	SA Fribourg	2
2017	Nordiska Zurich	1
2017	Rudergesellschaft Zurich	1
2018	Seeclub Zurich	122
2018	Seeclub Zug	100
2018	Basler RC	100
2018	Belvoir RC Zurich	88
2018	Grasshopper Club Zurich	85
2018	Ruderclub Thalwil	81
2018	Ruder Club Baden	74
2018	RC Blauweiss Basel	46
2018	Ruderclub Zurich	43
2018	Rowing Club Bern	36
2018	Seeclub Luzern	31
2018	Solothurner RC	25
2018	CA Aviron Vevey	22
2018	Seeclub Biel	20
2018	RC Hallwilersee	15
2018	FRC Morges	13
2018	Fy? Seeclub Kisnacht	11
2018	Seeclub Stansstad	10
2018	Nordiska Zurich	9
2018	Rudergesellschaft Zurich	7
2018	Ruderclub Erlenbach	6
2018	RC Kaufleuten Zurich	6
2018	RC Schaffhausen	6
2018	— Polytechniker RC Zurich	3
2018	Ruder-Club Cham	3
2018	Seeclub Arbon	3
2018	CC Lugano	3
2018	Seeclub Sursee	2
2018	RC Sarnen	2
2018	Kantonsschule Wettingen	2
2018	Société d’aviron Fribourg	2
2018	| Aviron Romand Ziirich	2
2018	| 33) Lausanne-Sports Aviron	1
2019	Grasshopper Club Zurich	159
2019	Seeclub Zurich	128
2019	Belvoir RC Zirich	104
2019	Seeclub Zug	71
2019	Rowing Club Bern	69
2019	Basler RC	58
2019	Ruderclub Baden	58
2019	CA Vevey	50
2019	RC Blauweiss Basel	48
2019	Ruder Club Zurich	42
2019	RC Thalwil	32
2019	Polytechniker RC	24
2019	Solothurner RC	21
2019	Seeclub Luzern	21
2019	Aviron Romand Zurich	13
2019	Seeclub Biel	11
2019	Seeclub Sursee	10
2019	Club Aviron Vésenaz	10
2019	Seeclub Stansstad	9
2019	Nordiska Zurich	8
2019	Seeclub Kiisnacht	7
2019	CC Lugano	7
2019	CC Locarno	5
2019	FRC Morges	4
2019	RC Sarnen	4
2019	Seeclub Arbon	4
2019	Rudergesellschaft Zurich	4
2019	RC Kaufleuten Zurich	4
2019	Ruder Club Cham	3
